category,category_name,icon,item_name,price,image
tab-dimsum,DIMSUM HẤP,images/banh_bao.svg,Há Cảo Tôm Tươi,68.000đ,images/banh_bao.svg
tab-dimsum,DIMSUM HẤP,images/banh_bao.svg,Xíu Mại Tôm Thịt,65.000đ,images/banh_bao.svg
tab-dimsum,DIMSUM HẤP,images/banh_bao.svg,Há Cảo Ngọc Bích,72.000đ,images/banh_bao.svg
tab-dimsum,DIMSUM HẤP,images/banh_bao.svg,Sò Điệp Thượng Hạng,85.000đ,images/banh_bao.svg
tab-dimsum,DIMSUM HẤP,images/banh_bao.svg,Bánh Bao Xá Xíu,55.000đ,images/banh_bao.svg
tab-dimsum,DIMSUM HẤP,images/banh_bao.svg,Bánh Bao Kim Sa,58.000đ,images/banh_bao.svg
tab-dimsum,DIMSUM HẤP,images/banh_bao.svg,Há Cảo Kim Tiền,75.000đ,images/banh_bao.svg
tab-dimsum,DIMSUM HẤP,images/banh_bao.svg,Bánh Cuốn Tôm,60.000đ,images/banh_bao.svg
tab-chien,DIMSUM CHIÊN,images/banh_bao.svg,,,
tab-monchinh,MÓN CHÍNH,images/banh_bao.svg,,,
tab-mi,CƠM / MỲ,images/banh_bao.svg,,,
tab-trangmieng,TRÁNG MIỆNG,images/banh_bao.svg,,,
tab-douong,THỨC UỐNG,images/banh_bao.svg,Trà Sâm Dứa,15.000đ,images/banh_bao.svg
tab-douong,THỨC UỐNG,images/banh_bao.svg,Trà Đá,5.000đ,images/banh_bao.svg
tab-douong,THỨC UỐNG,images/banh_bao.svg,Nước Ép Dưa Hấu,35.000đ,images/banh_bao.svg
tab-douong,THỨC UỐNG,images/banh_bao.svg,Sữa Đậu Nành,20.000đ,images/banh_bao.svg
